"cst_n","NDP","BQ","Green","Lib","Con"
"edmonton centre",12480,0,1676,11037,23625
"carleton--mississippi mills",11223,0,3434,18393,43723
"saint-lambert",18705,11353,944,8463,4396
"saint-jean",24943,16023,1326,4644,5603
"joliette",27050,18804,2227,3545,5525
"abbotsford",10089,0,2138,4968,32493
"outremont",21906,3199,838,9204,3408
"oak ridges--markham",15229,0,2349,25561,46241
"kingston and the islands",13065,0,2561,23842,21189
"trinity--spadina",35601,0,2861,15276,10976
"rivi_re-du-nord",29603,15105,972,3400,4469
"saint-laurent--cartierville",11948,2981,857,17726,7124
"scarborough--rouge river",18935,0,684,12699,13935
"churchill",10262,0,471,4087,5256
"regina--lumsden--lake centre",12518,0,911,2467,18076
"prince george--peace river",9876,0,2301,2008,23946
"vancouver kingsway",23452,0,1860,7796,13157
"pitt meadows--maple ridge--mission",18835,0,2629,2739,28803
"edmonton--st. albert",11644,0,2409,5796,34468
"palliser",15084,0,995,1797,15850
"glengarry--prescott--russell",9608,0,2049,17705,28174
"roberval--lac-saint-jean",11182,8577,553,1615,18438
"prince edward--hastings",12940,0,1887,10230,29062
"brampton--springdale",10022,0,1926,14221,24618
"thunder bay--superior north",18334,0,1115,6117,10894
"dartmouth--cole harbour",15678,0,1662,15181,10702
"saskatoon--humboldt",13271,0,926,3013,19954
"lambton--kent--middlesex",12299,0,1701,7264,29546
"langley",11277,0,2943,4990,35569
"saint boniface",6935,0,1245,13314,21737
"rosemont--la petite-patrie",27484,17702,899,4920,2328
"montmagny--l_islet--kamouraska--rivi_re-du-loup",17285,9550,691,2743,17276
"papineau",12102,11091,806,16429,2021
"sackville--eastern shore",22483,0,1762,4673,12662
"yellowhead",5411,0,2132,1190,31925
"huron--bruce",13493,0,1455,8784,29255
"laval--les _les",25703,7022,966,11108,8587
"victoria",30679,0,7015,8448,14275
"york west",7721,0,450,13030,6122
"don valley east",9878,0,1114,13552,14422
"kootenay--columbia",14199,0,2547,1496,23910
"burlington",11449,0,2151,14154,32958
"jonqui_re--alma",22900,9554,652,1043,18569
"etobicoke centre",7735,0,1377,21618,21644
"montcalm",34434,19609,2347,3501,5118
"niagara falls",12681,0,2086,10206,28748
"charlesbourg--haute-saint-charles",24131,8732,832,3505,16220
"marc-aur_le-fortin",29107,15470,1208,7035,5768
"kitchener--waterloo",10606,0,3158,24895,27039
"st. catharines",11973,0,1924,10358,25571
"markham--unionville",10897,0,1597,19429,17734
"medicine hat",5616,0,1868,4416,30719
"desneth_--missinippi--churchill river",9715,0,560,1144,10509
"oakville",8117,0,2140,17890,30068
"windsor west",21592,0,1096,4327,12577
"l_vis--bellechasse",19890,8757,903,3421,25850
"vancouver south",8552,0,1151,15604,19504
"red deer",7566,0,2551,1918,37959
"westlock--st.paul",5103,0,1634,2569,32652
"terrebonne--blainville",28260,17663,1219,4893,5236
"nickel belt",24566,0,1252,6308,12503
"hochelaga",22314,14451,798,5064,3126
"mississauga east--cooksville",8836,0,1032,18120,18796
"hamilton centre",23849,0,0,5912,11020
"manicouagan",16437,10495,898,1882,3878
"laurentides--labelle",24800,17799,1423,7169,5246
"cariboo--prince george",13135,0,2702,2200,24443
"bonavista--gander--grand falls--windsor",4306,0,279,17977,8595
"abitibi--baie-james--nunavik--eeyou",13961,5615,1221,3282,7089
"brome--missisquoi",22407,11173,1120,11589,6256
"fredericton",10626,0,1790,10336,21573
"ch_teauguay--saint-constant",29156,14957,923,5069,5756
"acadie--bathurst",32067,0,0,6491,7456
"ottawa south",10712,0,1787,25963,19634
"vancouver quadra",7499,0,2922,22903,20984
"parry sound--muskoka",11217,0,3776,5330,25864
"sault ste. marie",16467,0,945,8343,18328
"peterborough",14723,0,2105,12664,29393
"gasp_sie--_les-de-la-madeleine",12427,11650,913,5533,6292
"ottawa--vanier",15391,0,2716,20009,14184
"wild rose",6595,0,4071,3908,43669
"scarborough centre",11443,0,998,12028,13498
"chilliwack--fraser canyon",12691,0,2706,5320,28160
"fundy royal",9845,0,1757,3668,21206
"egmont",2369,0,320,5997,10467
"nunavut",1525,0,160,2260,3930
"etobicoke north",7630,0,0,13665,10357
"drummond",24489,10410,987,3979,7555
"london--fanshawe",21689,0,1202,4893,14294
"south shore--st. margaret's",15033,0,1579,7037,17948
"richmond--arthabaska",17316,18033,1098,3711,13145
"vancouver island north",25379,0,3018,3039,27206
"crowfoot",4805,0,1711,1224,44115
"cardigan",2164,0,373,10486,8107
"verch_res--les patriotes",24514,20593,1259,5352,4884
"sudbury",22684,0,1359,8172,12881
"essex",18538,0,1290,7465,25327
"algoma--manitoulin--kapuskasing",18747,0,1130,5374,10991
"pontiac",22376,4917,849,6242,14441
